Uploaded,System,CPU Details,Frequency_MHz,Cores,Platform,API,Score Label,Compute Score,Result URL,Schema
"Nov 06, 2025",vivo V2505A,Qualcomm ARMv8 3628 MHz (8 cores),3628.0,8,Android,Vulkan,Vulkan Score,26570,/v6/compute/5149683,v6-compute
"Nov 06, 2025",Xiaomi 25102RKBEC,Qualcomm ARMv8 3628 MHz (8 cores),3628.0,8,Android,OpenCL,OpenCL Score,24246,/v6/compute/5149682,v6-compute
"Nov 06, 2025","MacBook Pro (14-inch, 2023)",Apple M2 Max 3478 MHz (12 cores),3478.0,12,macOS,Metal,Metal Score,130808,/v6/compute/5149681,v6-compute
"Nov 06, 2025",iPhone 16 Pro Max,Apple A18 Pro 4040 MHz (6 cores),4040.0,6,iOS,Metal,Metal Score,32338,/v6/compute/5149680,v6-compute
"Nov 06, 2025",Xiaomi M2012K11AG,ARM Qualcomm 1804 MHz (8 cores),1804.0,8,Android,OpenCL,OpenCL Score,3415,/v6/compute/5149679,v6-compute
"Nov 06, 2025",iPhone 15,Apple A16 Bionic 3460 MHz (6 cores),3460.0,6,iOS,Metal,Metal Score,23863,/v6/compute/5149678,v6-compute
"Nov 06, 2025",iPhone XS Max,Apple A12 Bionic 2490 MHz (6 cores),2490.0,6,iOS,Metal,Metal Score,8768,/v6/compute/5149677,v6-compute
"Nov 06, 2025",LENOVO 83GS,Intel Core i5-12450HX 2693 MHz (8 cores),2693.0,8,Windows,OpenCL,OpenCL Score,69800,/v6/compute/5149676,v6-compute
"Nov 06, 2025","iPhone18,4",ARM 4259 MHz (6 cores),4259.0,6,iOS,Metal,Metal Score,38197,/v6/compute/5149675,v6-compute
"Nov 06, 2025","iPhone18,1",ARM 4254 MHz (6 cores),4254.0,6,iOS,Metal,Metal Score,45946,/v6/compute/5149674,v6-compute
