Uploaded,System,CPU Details,Frequency_MHz,Cores,Platform,User,Single-Core Score,Multi-Core Score,Result URL,Schema
"Nov 04, 2025","iPad17,4",ARM 4418 MHz (9 cores),4418.0,9,iOS,,4186,15644,/v6/cpu/14839253,v6
"Oct 24, 2025","iPad17,4",ARM 4423 MHz (10 cores),4423.0,10,iOS,,4186,16585,/v6/cpu/14640317,v6
"Oct 24, 2025","iPad17,3",ARM 4427 MHz (10 cores),4427.0,10,iOS,,4186,16730,/v6/cpu/14640052,v6
"Oct 24, 2025","iPad17,3",ARM 4427 MHz (10 cores),4427.0,10,iOS,,4186,16730,/v6/cpu/14640050,v6
"Oct 24, 2025 uzc","iPad17,3",ARM 4414 MHz (9 cores),4414.0,9,iOS,uzc,4186,15821,/v6/cpu/14634301,v6
"Oct 24, 2025","iPad17,3",ARM 4414 MHz (9 cores),4414.0,9,iOS,,4186,15821,/v6/cpu/14634279,v6
"Oct 23, 2025","iPad17,1",ARM 4413 MHz (9 cores),4413.0,9,iOS,,4186,15708,/v6/cpu/14617276,v6
"Oct 23, 2025","iPad17,3",ARM 4423 MHz (10 cores),4423.0,10,iOS,,4186,16870,/v6/cpu/14610392,v6
"Oct 22, 2025 rmc","Mac17,2",Apple M5 4607 MHz (10 cores),4607.0,10,macOS,rmc,4186,17673,/v6/cpu/14607447,v6
"Nov 06, 2025","iPad17,1",ARM 4396 MHz (9 cores),4396.0,9,iOS,,4185,15689,/v6/cpu/14880276,v6
"Nov 06, 2025 tfuentes_3","iPad17,3",ARM 4427 MHz (9 cores),4427.0,9,iOS,tfuentes_3,4185,15833,/v6/cpu/14877487,v6
"Nov 06, 2025","iPad17,3",ARM 4427 MHz (9 cores),4427.0,9,iOS,,4185,15833,/v6/cpu/14877482,v6
"Nov 04, 2025","iPad17,3",ARM 4424 MHz (9 cores),4424.0,9,iOS,,4185,15699,/v6/cpu/14850724,v6
"Nov 04, 2025 morgan3nelson","iPad17,3",ARM 4422 MHz (9 cores),4422.0,9,iOS,morgan3nelson,4185,15776,/v6/cpu/14834660,v6
"Nov 04, 2025","iPad17,3",ARM 4422 MHz (9 cores),4422.0,9,iOS,,4185,15776,/v6/cpu/14834658,v6
"Nov 03, 2025","Mac17,2",Apple M5 4604 MHz (10 cores),4604.0,10,macOS,,4185,17494,/v6/cpu/14821024,v6
"Oct 31, 2025","iPad17,3",ARM 4422 MHz (10 cores),4422.0,10,iOS,,4185,16828,/v6/cpu/14763326,v6
"Oct 29, 2025","iPad17,4",ARM 4425 MHz (9 cores),4425.0,9,iOS,,4185,15752,/v6/cpu/14737919,v6
"Oct 27, 2025","iPad17,2",ARM 4400 MHz (9 cores),4400.0,9,iOS,,4185,15702,/v6/cpu/14688059,v6
"Oct 24, 2025","iPad17,1",ARM 4420 MHz (9 cores),4420.0,9,iOS,,4185,15475,/v6/cpu/14638519,v6
"Oct 23, 2025","iPad17,2",ARM 4422 MHz (10 cores),4422.0,10,iOS,,4185,16796,/v6/cpu/14626012,v6
"Nov 06, 2025","iPad17,1",ARM 4417 MHz (9 cores),4417.0,9,iOS,,4184,15780,/v6/cpu/14882148,v6
"Nov 06, 2025","iPad17,3",ARM 4421 MHz (9 cores),4421.0,9,iOS,,4184,15758,/v6/cpu/14874607,v6
"Nov 04, 2025","iPad17,1",ARM 4416 MHz (10 cores),4416.0,10,iOS,,4184,16834,/v6/cpu/14850662,v6
"Nov 04, 2025","iPad17,3",ARM 4423 MHz (10 cores),4423.0,10,iOS,,4184,16798,/v6/cpu/14844454,v6
"Nov 03, 2025","iPad17,3",ARM 4427 MHz (10 cores),4427.0,10,iOS,,4184,16848,/v6/cpu/14816075,v6
"Oct 31, 2025","iPad17,1",ARM 4418 MHz (9 cores),4418.0,9,iOS,,4184,15798,/v6/cpu/14776655,v6
"Oct 29, 2025","iPad17,2",ARM 4400 MHz (9 cores),4400.0,9,iOS,,4184,15745,/v6/cpu/14727395,v6
"Oct 28, 2025","iPad17,1",ARM 4408 MHz (10 cores),4408.0,10,iOS,,4184,16910,/v6/cpu/14720398,v6
"Oct 27, 2025 uzc","iPad17,3",ARM 4411 MHz (10 cores),4411.0,10,iOS,uzc,4184,16953,/v6/cpu/14689621,v6
"Oct 27, 2025","iPad17,3",ARM 4411 MHz (10 cores),4411.0,10,iOS,,4184,16953,/v6/cpu/14689617,v6
"Oct 26, 2025","iPad17,3",ARM 4414 MHz (9 cores),4414.0,9,iOS,,4184,15338,/v6/cpu/14675562,v6
"Oct 26, 2025","Mac17,2",Apple M5 4607 MHz (10 cores),4607.0,10,macOS,,4184,17592,/v6/cpu/14668011,v6
"Oct 25, 2025","iPad17,3",ARM 4412 MHz (9 cores),4412.0,9,iOS,,4184,15560,/v6/cpu/14650255,v6
"Oct 22, 2025","iPad17,1",ARM 4427 MHz (9 cores),4427.0,9,iOS,,4184,15704,/v6/cpu/14597856,v6
"Nov 06, 2025","iPad17,3",ARM 4425 MHz (10 cores),4425.0,10,iOS,,4183,16907,/v6/cpu/14879867,v6
"Nov 05, 2025","iPad17,1",ARM 4421 MHz (9 cores),4421.0,9,iOS,,4183,15650,/v6/cpu/14855500,v6
"Nov 05, 2025","iPad17,3",ARM 4426 MHz (9 cores),4426.0,9,iOS,,4183,15567,/v6/cpu/14854867,v6
"Nov 05, 2025","iPad17,3",ARM 4417 MHz (9 cores),4417.0,9,iOS,,4183,15751,/v6/cpu/14854607,v6
"Nov 04, 2025","iPad17,3",ARM 4426 MHz (9 cores),4426.0,9,iOS,,4183,15669,/v6/cpu/14849217,v6
"Nov 04, 2025","iPad17,4",ARM 4427 MHz (10 cores),4427.0,10,iOS,,4183,16831,/v6/cpu/14841290,v6
"Oct 25, 2025 burtonsnow448","iPad17,3",ARM 4413 MHz (9 cores),4413.0,9,iOS,burtonsnow448,4183,15659,/v6/cpu/14663112,v6
"Oct 25, 2025","iPad17,3",ARM 4413 MHz (9 cores),4413.0,9,iOS,,4183,15659,/v6/cpu/14663060,v6
"Oct 25, 2025","iPad17,1",ARM 4429 MHz (9 cores),4429.0,9,iOS,,4183,15716,/v6/cpu/14648560,v6
"Oct 24, 2025","iPad17,2",ARM 4425 MHz (9 cores),4425.0,9,iOS,,4183,15478,/v6/cpu/14639381,v6
"Oct 22, 2025 jamesjingyi","iPad17,2",ARM 3870 MHz (9 cores),3870.0,9,iOS,jamesjingyi,4183,15769,/v6/cpu/14609887,v6
"Oct 22, 2025","iPad17,2",ARM 3870 MHz (9 cores),3870.0,9,iOS,,4183,15769,/v6/cpu/14609885,v6
"Dec 18, 2024",ASUS System Product Name,Intel Core i9-13900KS 3224 MHz (24 cores),3224.0,24,Windows,,4183,30834,/v6/cpu/9493782,v6
"Nov 06, 2025","iPad17,1",ARM 4425 MHz (9 cores),4425.0,9,iOS,,4182,15790,/v6/cpu/14881368,v6
